"","x"
"1","GLI3"
"2","WNT5B"
"3","CSNK1G2"
"4","RAB23"
"5","PRKX"
"6","WNT5A"
"7","CSNK1G3"
"8","BMP8A"
"9","BMP8B"
"10","WNT10B"
"11","GAS1"
"12","CSNK1G1"
"13","WNT7A"
"14","PRKACA"
"15","PRKACB"
"16","PTCH1"
"17","WNT11"
"18","FBXW11"
"19","BMP2"
"20","BTRC"
