"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRLF1",1.24864618692362,8.47644481383076,7.58858177995117,4.15264301362168e-12,2.04366663220372e-09,17.1404500796451
"SPP1",1.56370575900092,8.65476012455967,7.54837477263745,5.1714520464506e-12,2.43440483943133e-09,16.9299097949472
"TNFRSF12A",0.94226335325758,6.2847034718103,7.53237647743892,5.64251523771112e-12,2.54547968661243e-09,16.8462612123672
"PTGES",0.974433793954219,7.53099069403886,7.49490444585387,6.91875377452667e-12,2.99637388467201e-09,16.6506169185231
"TNFSF11",1.10426378564851,6.14914044182992,7.4018364011461,1.14606876328205e-11,4.77249480771336e-09,16.1664400972679
"LTBP1",0.561283955009086,7.72071469408645,7.32481724533207,1.73684027625014e-11,6.96472950776306e-09,15.7676768902336
"SQLE",0.543922659687199,6.7223200972963,7.29406022887748,2.04948282464111e-11,7.92491090799617e-09,15.6089313701293
"WNT7B",0.684349335159052,5.10732447152972,7.27768207128149,2.23805996559584e-11,8.35568111982969e-09,15.52451667516
"TNFAIP6",1.01851088882748,8.42241407560555,7.22177510510483,3.02058309349257e-11,1.09012843844147e-08,15.2369890041818
"P4HA1",0.678341757931286,7.46973569073731,7.21482804286285,3.13503555360902e-11,1.09493644964274e-08,15.2013283635311
"TMEM45A",0.657784611013651,8.18301086866412,7.18018350594471,3.77304103525327e-11,1.25407874526031e-08,15.0237175573657
"SLC1A1",0.601482418114203,6.32753734928975,7.17775243432504,3.82235139868756e-11,1.25407874526031e-08,15.011268510641
"FKBP10",0.844967102583194,6.47550667366482,7.15694353931879,4.27135136227105e-11,1.36017415292084e-08,14.904787056234
"PLOD1",0.58392182274815,7.81117190191999,7.12998884920297,4.93124500358041e-11,1.525445418679e-08,14.7670626548782
"ANKH",0.805383475599581,7.25268353304333,7.02390452211351,8.65989669355129e-11,2.60446393058555e-08,14.2273215153267
"PSD3",0.67209907524878,7.1690940918073,7.01801166112751,8.93409068711724e-11,2.61430810457887e-08,14.1974484369056
"TRPS1",0.514241480530946,7.24349269209389,7.00769907200563,9.43472682094869e-11,2.68815229711609e-08,14.1451980830682
"INHBA",1.08003191565019,6.66028351142908,6.96951872760123,1.15414759862353e-10,3.20409129494795e-08,13.9520628461826
"SPOCK1",0.746575428958095,7.8173805119248,6.94555501616966,1.30945696387317e-10,3.54437263696369e-08,13.8310949190814
"VKORC1",0.575522881463093,9.78801369550564,6.93738259019701,1.36700674467261e-10,3.60989805477326e-08,13.7898856778653
"EMILIN1",0.649979363275113,6.43857798090548,6.79331260574645,2.90681907057432e-10,7.49336430407338e-08,13.0672337805528
"WNT5A",0.7039521336546,5.37767800345767,6.62679440983107,6.88821348323099e-10,1.73438807867307e-07,12.2412865927729
"PHLDA1",0.839659681036428,6.86641070604081,6.60302298939588,7.78454492870564e-10,1.91552881688854e-07,12.1242198427568
"PLAUR",0.694583284892949,7.58316882072021,6.59085459546268,8.28690973754053e-10,1.99383048285225e-07,12.0643773973384
"PDGFC",0.563160224106987,7.7542802946368,6.58000581357372,8.76165580259217e-10,2.06222711684055e-07,12.0110722629074
"BMP1",0.568699393475853,6.99768508685084,6.54977025841764,1.02308406514251e-09,2.35679386665913e-07,11.8627491200319
"POSTN",1.4765060958416,7.85507112902434,6.54098827698322,1.07013280563783e-09,2.41381830971683e-07,11.8197343941918
"COL6A2",0.778152875345651,9.66575666906869,6.53600891229894,1.09774984363104e-09,2.42557909326394e-07,11.7953584017934
"COL1A2",0.829725065394079,10.5321530120236,6.51112088352166,1.24666666869608e-09,2.68352352509931e-07,11.673665939735
"SOX4",0.583402203476284,7.3646262676351,6.50840743663756,1.26405929417258e-09,2.68352352509931e-07,11.660412874655
"KDELR2",0.562368376777047,8.22293320169582,6.48138764197172,1.45083011264574e-09,3.02079569800297e-07,11.5285997648425
"ECM1",0.802496287791736,7.35233289530448,6.4512089874868,1.6916736632353e-09,3.43224881335774e-07,11.3817167702656
"LRRC15",1.06701973770494,7.24374183357188,6.44887693136024,1.71184479469214e-09,3.43224881335774e-07,11.3703814153149
"AEBP1",0.868033606054302,9.03134113012385,6.43910144589551,1.79900663062155e-09,3.54142632540718e-07,11.322889568778
"ENO1",0.530806481404978,9.53201378117338,6.39652870045236,2.23240487910661e-09,4.26287350587216e-07,11.1165060983234
"PGM3",0.467421268402722,6.58397286109377,6.39548408096542,2.24423930760795e-09,4.26287350587216e-07,11.1114511734773
"WNT5B",0.800477282567045,6.35526238170211,6.39132864864352,2.29193049667818e-09,4.27840198060943e-07,11.0913473583075
"ADORA2B",0.563190389031067,5.44158861002251,6.38535738222704,2.36221318659021e-09,4.33486138495122e-07,11.0624708418521
"GPX7",0.685012506782124,6.21185302523171,6.3789501070716,2.43998790167996e-09,4.40295816858149e-07,11.0315018938252
"VWA1",0.785797537020063,7.01380605539525,6.36374101039959,2.63483840859819e-09,4.62984374181039e-07,10.9580569683492
"GAPDH",0.526704341723315,10.2715467158001,6.3625113562924,2.65124514632164e-09,4.62984374181039e-07,10.9521230675233
"CLEC11A",0.711197865658221,6.9363592447037,6.3384262812328,2.99364837739525e-09,5.14479856858069e-07,10.8360211149785
"KIF20A",0.826387514514853,5.18861259472145,6.32123014147914,3.26438407082838e-09,5.5224197398217e-07,10.7532728751898
"COL7A1",0.728055354941973,5.99338419716902,6.30864396198275,3.47767225698102e-09,5.79273192712823e-07,10.6927851720429
"TRAM2",0.471660323556883,7.08425044299103,6.29776519172086,3.67303076916605e-09,5.98019239767847e-07,10.6405559174962
"PTHLH",0.62488706444868,6.11582298934341,6.29535000871493,3.71784515947955e-09,5.98019239767847e-07,10.6289672242693
"BMP2",0.602754159155349,6.37378706705681,6.29332062155684,3.75591653313139e-09,5.98019239767847e-07,10.6192315568428
"OGN",1.20956058389792,8.36174988750823,6.26874824730832,4.24846791577575e-09,6.66640030784117e-07,10.5014856330298
"PAPPA",0.854385120312307,5.49639719291657,6.2585768889069,4.47046849051695e-09,6.91453747811814e-07,10.4528203938987
"CD44",0.549676215478226,9.21542381626619,6.21015116328456,5.69395190439715e-09,8.68287567167717e-07,10.2217235874711
"SMOX",0.783164630657637,5.67065791232956,6.20273056165998,5.90847518205057e-09,8.76900671328716e-07,10.1863989074093
"PRKCA",0.481238378393171,7.09003244633897,6.20259667058654,5.91241793728607e-09,8.76900671328716e-07,10.1857617542121
"NT5DC2",0.662314065661311,6.47433861441543,6.19441658089816,6.1582711046953e-09,9.01021638520757e-07,10.146849322212
"LGI1",-0.982846056859805,4.65056748753148,-6.18618793249943,6.41571682259722e-09,9.26172880510135e-07,10.1077347527114
"PRRC1",0.530733938876297,6.91603323996184,6.17890197547251,6.65248006158193e-09,9.47715810878257e-07,10.0731254403886
"ADH1C",-1.06539284940792,5.60503726515627,-6.14442652779085,7.89444661267480e-09,1.11004121396662e-06,9.9096720122311
"EXTL2",0.43593260936539,6.92872346705843,6.1340882594534,8.30942451166257e-09,1.15341204086886e-06,9.86075683434365
"DLX4",0.655607694269067,6.80823252302567,6.12076923210306,8.87576796256638e-09,1.21642961684438e-06,9.79780676621974
"PTPRD",0.608604527659064,7.41167054205779,6.11752752758688,9.01924927711491e-09,1.22064264904154e-06,9.78249710798887
"TTPA",-0.74299595174603,4.84776395107945,-6.10142185022761,9.76658278838606e-09,1.3054665660476e-06,9.70650260614226
"TNC",0.709009331011834,10.1818257697625,6.08954766950558,1.03562027216464e-08,1.36739764472275e-06,9.65054717832684
"GALNS",0.374745712635484,7.01224779175476,6.08212501747104,1.07423937733481e-08,1.40129996848241e-06,9.61560044368132
"WNT11",-0.6687996258269,4.56241890518843,-6.07221646799154,1.12800401430472e-08,1.45391660272348e-06,9.56898765027108
"MCHR1",0.811221243943153,5.16879170855531,6.06798370880473,1.1517689568419e-08,1.46708264655615e-06,9.54908869580587
"TPI1",0.470852601805888,9.08446232543865,6.05354403057287,1.23660014605729e-08,1.54217057576882e-06,9.48126488286525
"ADRB1",-0.835297331917866,4.91189503335656,-6.05311602447512,1.23920605977544e-08,1.54217057576882e-06,9.47925593016977
"SLC20A1",0.552601081497348,8.58798196011301,6.04371330927566,1.29783438833259e-08,1.59677874119056e-06,9.43514249718961
"IL11",1.46004561862617,5.62321479759399,6.02415961539588,1.42861304961852e-08,1.73793185260895e-06,9.34353125796261
"ARF4",0.452300230347224,8.85446088392857,6.01376694847904,1.50330037484497e-08,1.8084703509385e-06,9.29491003690956
"OSBPL3",0.385670872385845,6.32278134114567,6.00308737567866,1.58404080371107e-08,1.8846604155802e-06,9.2449970475493
"CHPF",0.472077455745668,7.68400522921015,5.96455782357726,1.91229586171973e-08,2.25048122769995e-06,9.06534963321618
"ACADL",-0.858867346676568,4.47080258434851,-5.95565649842001,1.99714514783891e-08,2.32506349630666e-06,9.02394214760818
"NXPH4",0.635433093106994,5.56679068625366,5.95313115490993,2.02188264846544e-08,2.3288216420144e-06,9.01220124035756
"HCFC1R1",0.4921648754822,7.65872266711131,5.94374637949465,2.11647559661335e-08,2.4121138194245e-06,8.96859474391747
"LYVE1",-0.785691062252839,7.01070291552348,-5.93594936894595,2.19835581965768e-08,2.47933317285768e-06,8.9323964352139
"RAI14",0.494998666317277,6.81980048898939,5.9323156687143,2.23756901816494e-08,2.49754224326513e-06,8.91553617090911
"ADH1B",-1.33880459909348,5.581359660611,-5.92988292950275,2.26420463639597e-08,2.50148404063869e-06,8.90425171393588
"ENO2",0.605197385165802,6.61381787416154,5.92759280034615,2.28956293882732e-08,2.50394928673569e-06,8.89363124622868
"ATP6V1A",0.439844681783262,7.56586011364796,5.91621757770529,2.41970624931399e-08,2.61981595613226e-06,8.84091438938896
"SYT13",0.608561646761345,5.91595626656627,5.90792393202975,2.51914022086597e-08,2.70046843280355e-06,8.80251620694756
"P4HB",0.501347546762871,9.28486640743484,5.89312381120946,2.70663295763066e-08,2.87301127767325e-06,8.73407303728307
"TGFB3",0.542822650845391,7.17543946453987,5.88802007786836,2.77440958222366e-08,2.91636238317821e-06,8.71049432490893
"PALM",-0.609141408483528,6.46751778947128,-5.88466545256643,2.81986197363949e-08,2.93563899890334e-06,8.69500288709988
"AKR1C1",-0.418631372190467,8.1553713608289,-5.87748954153172,2.91955508070862e-08,3.01047836750783e-06,8.66188254904794
"SEC31A",0.36196610558715,8.67567383639734,5.87156760682757,3.00442303278494e-08,3.06876303546816e-06,8.63456795898031
"LZTS1",0.530863503619235,5.93043439308977,5.86024726311636,3.17344093313663e-08,3.18836286816801e-06,8.58239898919775
"GARS",0.430657577836547,7.63275402667873,5.85979316383833,3.18041183857158e-08,3.18836286816801e-06,8.58030755379298
"ENPP1",0.604404087612317,7.75331733927439,5.85209139014717,3.30095452434843e-08,3.27884721423123e-06,8.54485034037238
"CCNO",0.394812142162616,5.60372269285268,5.84377998181342,3.43606459717045e-08,3.38202467214222e-06,8.50661766038057
"APOB",-0.894384326217478,5.57044547309736,-5.84069764741973,3.48753671116246e-08,3.40176215961766e-06,8.49244708113952
"SOX11",0.984123235628911,4.90070036306583,5.82972523720906,3.67697356811374e-08,3.55451721624709e-06,8.44203926314807
"NDUFA4L2",0.739123910969936,8.62462972393502,5.82045164322379,3.8449156919058e-08,3.68213048957718e-06,8.3994800855063
"HYI",-0.396364010680971,7.12398814136029,-5.81655266839584,3.91774917529631e-08,3.68213048957718e-06,8.38159868709758
"NT5E",0.547913004613939,7.26682396076052,5.8161656543728,3.9250520015828e-08,3.68213048957718e-06,8.37982416299012
"SLC26A2",0.387361539536348,6.47477624338624,5.81511112700304,3.94501835033669e-08,3.68213048957718e-06,8.37498933750917
"PDE3B",-0.665843632345144,5.50393436593575,-5.8069201016507,4.10353316604059e-08,3.79734646057449e-06,8.3374528085679
"P2RY14",-0.910505825966208,5.8869170632282,-5.80475597238894,4.14644584061872e-08,3.80453975562533e-06,8.32754068441331
"LHFPL2",0.521713014369589,7.82024452415649,5.7981807563819,4.27954186301571e-08,3.89366384461102e-06,8.29743856141383
"NTRK2",-0.788757162504153,6.94107582692746,-5.79434697043677,4.35906827978887e-08,3.9329693554395e-06,8.27989649977024
"OLFML2B",0.820753731993352,7.95394298646719,5.7814968717876,4.63633023273367e-08,4.14855763882706e-06,8.2211499131865
"CA9",0.686697083087762,6.29258202716716,5.76494862687194,5.01895200068335e-08,4.43822263996151e-06,8.14561254385776
"FSTL1",0.39386555382081,9.67265804131057,5.76399013731799,5.04203735767309e-08,4.43822263996151e-06,8.14124136037316
"EHD3",0.433804352864096,6.12914284161829,5.75475525065433,5.26985746265469e-08,4.60135054420664e-06,8.09914828663243
"THBS2",0.850485347087817,8.75757131933384,5.7359493512123,5.76539803622513e-08,4.99375716305676e-06,8.01355668268656
"THY1",0.798811759175427,8.18062614877384,5.71542181265201,6.35843507419346e-08,5.44849849533507e-06,7.92032402269942
"UBE2C",0.522809682176278,5.91918714806776,5.71434787734471,6.39105300551911e-08,5.44849849533507e-06,7.91545199957622
"PECR",-0.613098941381058,5.57409113134398,-5.69817245909784,6.90261633628076e-08,5.83864274007124e-06,7.84213818485666
"AKR1C4",-0.610034038645466,5.23673909412064,-5.6883872477322,7.23132068684046e-08,6.02695511350948e-06,7.7978492684833
"FAM149A",-0.51270698154893,5.99664938466587,-5.6882343429739,7.23657675031156e-08,6.02695511350948e-06,7.79715757554941
"LRRFIP2",0.405623308036987,7.10753690151618,5.67727308169885,7.62327191083945e-08,6.30054694493578e-06,7.74760203127761
"WFS1",-0.462847092912889,7.4046193482941,-5.66032799264012,8.26118896974215e-08,6.77605249813623e-06,7.67110950925881
