"","x"
"1","WNT5B"
"2","CSNK1G2"
"3","GLI3"
"4","PRKX"
"5","BMP8B"
"6","CSNK1G3"
"7","BMP2"
"8","CSNK1G1"
"9","WNT5A"
"10","BMP8A"
"11","RAB23"
"12","WNT10B"
"13","LRP2"
"14","WNT7A"
"15","WNT11"
"16","PTCH1"
"17","FBXW11"
"18","WNT7B"
"19","GSK3B"
"20","PRKACB"
