"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SYT17",0.533059211021321,5.89136975343498,6.06477698721494,5.8911275398669e-09,6.38822794406719e-07,10.1485573468591
"RAB21",-0.304050916103442,7.18328714559195,-6.06448478818923,5.90027518617086e-09,6.38822794406719e-07,10.1470786996411
"SCRG1",1.02349735777258,8.8337917405812,6.06062350212374,6.02247209340262e-09,6.45597082725447e-07,10.12754368522
"NKTR",-0.523732755783857,7.88425240720304,-6.03214227468766,7.00365915002859e-09,7.36350565987139e-07,9.98372083662568
"NUP107",-0.283817727956781,6.75021924234479,-6.03210367002847,7.00508989532422e-09,7.36350565987139e-07,9.98352621558666
"HTRA1",0.591454595796811,10.8160610734158,6.00863661735933,7.92993891080319e-09,8.15353707645197e-07,9.86538177993341
"SOCS6",0.388174549974764,5.47811965897093,6.00690276160672,8.00282763777751e-09,8.15353707645197e-07,9.8566655718615
"GSPT2",0.256613767990734,6.51026189323521,6.00675923112409,8.00889075951456e-09,8.15353707645197e-07,9.85594411398507
"CHD1",-0.378004109588832,6.01889541315781,-6.00492363974185,8.0868288501673e-09,8.15353707645197e-07,9.84671856017153
"FOSL1",-0.86681800605407,5.15007719733035,-6.00383961622933,8.13320406628626e-09,8.15353707645197e-07,9.84127126676567
"ARL4C",-0.592919146628433,6.79598367928237,-5.98385049772537,9.0365336780109e-09,8.97601377356183e-07,9.74094888219839
"TTF1",-0.342310078803565,6.59605608196902,-5.97869820037071,9.28485666046693e-09,9.13883118753413e-07,9.71512856337659
"KLK3",0.568587003007453,5.6945155577715,5.96447731621087,1.00054311265124e-08,9.7593516042117e-07,9.64394337325377
"ETS2",-0.599100343244505,6.58250599576488,-5.96074134407444,1.02036369728626e-08,9.86381942010565e-07,9.62526219262338
"PPIG",-0.255460590739598,6.57775463859672,-5.93796168391376,1.1498011117484e-08,1.10167226875221e-06,9.5115354150605
"FAM155A",0.616883750465654,5.8434049482374,5.93530831104023,1.16588482358923e-08,1.10728377061408e-06,9.49830862493018
"SRRM1",-0.289098539818023,7.73108815238178,-5.92963005497344,1.20104737886478e-08,1.12910644549085e-06,9.47001721626482
"KLF9",-0.577967425533536,7.36030022233268,-5.92733868081759,1.21552868676331e-08,1.12910644549085e-06,9.45860609775415
"BICC1",0.576709707599094,6.64001049364128,5.92661334048086,1.22014827858529e-08,1.12910644549085e-06,9.4549945324906
"ANP32B",-0.274190665587801,9.0019959187524,-5.91045627695806,1.32761968019319e-08,1.21814731164845e-06,9.37462792234337
"TTLL1",0.430307737323914,6.1195677023415,5.90637962861145,1.35616702843232e-08,1.23388406864174e-06,9.35437501314925
"IFIT1",0.613952459366275,6.82066664406241,5.90326629842602,1.37837217075922e-08,1.2422843306861e-06,9.33891460515209
"GLRX",-0.560483340662195,8.23918431539245,-5.90188359470765,1.38834768645995e-08,1.2422843306861e-06,9.33205013543654
"SSRP1",-0.258255286075767,6.73017258403018,-5.88175298793677,1.54183233271546e-08,1.36831300543527e-06,9.23224121923989
"GTPBP2",-0.275059978411248,6.44436052324631,-5.86401913386931,1.69070388905201e-08,1.48823178916798e-06,9.14451760167059
"CSF1R",0.632188185452548,7.60515047032483,5.86125038534907,1.71518145746493e-08,1.49619147797371e-06,9.13083862008678
"CBR3",0.475023621161846,6.68354017069471,5.85988443960075,1.72738463791183e-08,1.49619147797371e-06,9.12409188039182
