"","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT"
"GSE82107_GSM2183534",0.0424887409923946,0,0,0,0.0463256516643167,0.0836408228789039,0.0491887485861754,0.0466384713096885,0,0,0,0.0729453988424359,0.123693138589135,0,0.110648741320685,0.215146333361396,0.0411603703717026,0,0.165475669353531,0,0,0.00264791272963568
"GSE82107_GSM2183535",0.0347052459338382,0,0,0.0636674209954012,0.0427058190745064,0.0134178393179468,0,0.0285535864980122,0.0109473462153637,0,0.0180729502790104,0.00630666838520276,0.147782070731791,0,0.0460302578639557,0.385415743187554,0.0591715857591113,0,0.125411314994169,0,0,0.0178121507641366
"GSE82107_GSM2183536",0.109662100936061,0,0.0396597109334604,0.0350764006594045,0,0.0337867883712952,0,0.0959012954123681,0.00113405084831915,0,0.0256034242386677,0,0.0852017482063592,0,0.0193378578730343,0.396133112752956,0.0583041216788587,0,0.0735247997880651,0,0,0.0266745883011505
"GSE82107_GSM2183537",0.0697798606005752,0,0.102877858177392,0.0302854578531115,0,0.143748349551883,0,0,0.0107483135904585,0,0.0422267158051633,0,0.145926656186938,0,0.0344233637590117,0.265820630382099,0.00205213678576593,0,0.113657908520712,0,0,0.0384527487868903
"GSE82107_GSM2183538",0,0.0750179200571904,0,0.133374903889062,0,0.0805565199001628,0.0184079419313482,0.0214018328297716,0,0,0.00550172326830028,0.00772980487861696,0.0150964140770749,0,0.034266562634816,0.371734591908897,0,0,0.198345623008086,0,0,0.0385661616166734
"GSE51588_GSM1248759",0.0407615482091757,0,0.0649757569120177,0.0920317430765081,0,0.140541329578109,0,0,0.0886094072770425,0,0.034252421147966,0,0.0975642401756354,0,0.0257351907433304,0.176001771469765,0,0,0.0962620907218675,0.00949466467046783,0.0112552227551799,0.122514613262935
"GSE51588_GSM1248760",0.0531105058374917,0,0.0512192202068739,0.096792056013072,0,0.147343138247397,0,0,0.052364944301313,0,0.0460034510162611,0,0.107626093353529,0,0.0281114215017244,0.168200863783179,0,0.0174522363945863,0.0407514015811115,0,0,0.191024667763462
"GSE51588_GSM1248761",0.0134157449276849,0.0318526514519017,0.0459978942152712,0.032718847906748,0,0,0,0,0.0154237384548881,0,0.0199522542272197,0,0.274822289258524,0.142938846097478,0.00494914806574311,0.18190714710199,0,0,0.172612619992532,0,0.03032670937643,0.0330821089235884
"GSE51588_GSM1248762",0,0,0.096229850318221,0.0660840854906881,0,0.00610653514960738,0,0.0425877917873122,0.00782374875921919,0,0.0235347062783263,0.00338294518729333,0.277115320392282,0,0.00833766898477699,0.116203961507901,0,0,0,0.0954479414638492,0.0947129794572488,0.162432465223274
"GSE51588_GSM1248763",0,0.00411209123776735,0.166969843245698,0.0123184938084164,0,0.071649792241172,0,0,0.00588647327860527,0.00236401563120377,0,0,0.0887617507734551,0,0.016133848116954,0.341290131465911,0,0,0,0.122923836739289,0,0.167589723461528
"GSE51588_GSM1248764",0.0693512295442981,0,0.0378670945594566,0,0,0.151831683254229,0,0,0.0401175939009734,0,0.0537924130751003,0,0.072354698447518,0,0.0509800053401865,0.302613840070101,0,0,0.107613380394041,0,0,0.113478061414095
"GSE51588_GSM1248765",0.0808160242960225,0,0.0808648849492088,0.0381594044545414,0,0.169342814437217,0,0,0.0505549927646092,0,0.0585915834289746,0,0.125767850157121,0,0.0294103220502151,0.15975117123322,0,0,0.0671501319196314,0,0,0.139590820309239
"GSE51588_GSM1248766",0.0568202245255368,0,0.0660826352332181,0.0324391753231928,0,0.0285223209546769,0,0,0.0355430136744143,0,0.0276685675196156,0,0.275909798070479,0.129471249216576,0.00663534127632188,0.117317929308064,0,0,0.137216367152451,0,0.02670109095048,0.0596722867949736
"GSE51588_GSM1248767",0,0.0151752958779661,0.137794980849946,0.0502583894497809,0.0166478027803671,0.00672791433748351,0,0.0294348008702966,0,0,0.0459897140299571,0,0.297882217986138,0,0.0027268907911562,0.117372713039406,0,0,0.0739719654265804,0.0127112785909165,0.0677476558242523,0.125558380145754
"GSE51588_GSM1248768",0,0.00149004504316362,0.211154987273693,0.0065570885939306,0,0.0824238470888485,0,0,0,0.00378372434127769,0,0,0.0958037564063391,0,0.0181772762248695,0.334178570502451,0.0155634903042736,0,0.0383523913995976,0.0347950148636354,0,0.15771980795792
"GSE57218_GSM1380887",0.00428713103835492,0.0207940509335473,0.0933063658410631,0.0189833646809958,0,0.0794625031274102,0.0277567899835489,0,0.151061514824419,0,0.0601659892560828,0.00259772625250174,0.065686235337935,0,0.0892561892379369,0.142459983095125,0.0724159152114501,0,0.0794204015507433,0,0,0.0923458396288853
"GSE57218_GSM1380888",0.12302686523129,0,0,0.0388756688469732,0.0453162548328947,0,0,0,0.0948253629686486,0,0.0405400291649201,0,0.0799007415008241,0,0.0426788072867898,0.32790027822189,0.00989043840016318,0.0136710313513126,0.157815752944857,0,0,0.025558769249437
"GSE57218_GSM1380917",0.0572318548590706,0,0,0.006931263646475,0,0.146757819952423,0.000145640887564366,0,0.00662714462347173,0,0.0165486824006263,0,0.0591437648965087,0,0.0364272233090401,0.474877550041286,0.0395693179482775,0,0.121919722317103,0,0,0.033820015118154
"GSE57218_GSM1380956",0.10334617358611,0,0.0852215016381481,0.110151399886217,0,0,0,0.0104163040701501,0.025423046277149,0,0.0521576073444763,0,0.211736674116406,0,0.0590654632511055,0.201674066522256,0.0110873289465117,0,0.0648396877647441,0.0603556413728664,0.00452510522385964,0
"GSE57218_GSM1380957",0,0.0712058257982786,0.00195947347717758,0.00813014817324734,0,0.107435047564046,0,0.110370883965279,0,0,0.0532600199353158,0.0299097888487602,0.105676108523804,0.0221492760900607,0.0845938877817012,0.173644789647298,0.0123006726078635,0,0.180431260201929,0,0,0.0389328173852379
"GSE57218_GSM1380958",0.0535154052762981,0,0.0136847629879809,0.11939933205002,0,0,0,0.0596008054010902,0.0383245428813966,0,0.0725523626106167,0,0.125264685805966,0,0.0530664453993374,0.283872162356657,0.0427478643071336,0,0.137971630923503,0,0,0
"GSE57218_GSM1380959",0.101321655943213,0,0.0149652179357147,0.0211035120173851,0,0.113358685143771,0.0016348441377857,0.00966852264395724,0.0880358611008061,0,0.0490111555342401,0,0.135606968654658,0,0.0876314103611753,0.209460692756364,0.0468776112624806,0,0.121323862508449,0,0,0
"GSE98918_GSM2627518",0.0911708461827284,0,0.0438050013289232,0,0,0.219108230904786,0,0.0495437900235102,0.0752836485703285,0,0.104454720293368,0,0.137793573533813,0,0.07063665538539,0.117700689274264,0,0,0.00374011735277557,0.0682504935363464,0,0.0185122336137661
"GSE98918_GSM2627519",0.0814430470281187,0,0,0,0,0.110086200491136,0,0.0397275009115138,0.0449606241633459,0,0.0411258617546949,0.00352912756023279,0.147754890371114,0,0.0314883373951222,0.38019452358571,0.0453419853180672,0,0,0.0679940753009943,0,0.00635382611995059
"GSE98918_GSM2627520",0.0515697924179888,0,0,0,0,0.129589327508263,0,0.0607407608734175,0.0626000429157607,0,0.0704830316799028,0,0.103208165340545,0,0.0818383160144402,0.273857875196013,0.0475613782402453,0,0.114025049282781,0,0,0.0045262605306423
"GSE98918_GSM2627521",0,0.0523133145674729,0.0653852145317466,0.0575494794777572,0,0,0,0.151540502026981,0.0472366547440169,0,0.116704951785158,0.00280352699683113,0.103449594560533,0,0.0466527062220119,0.163632004997375,0,0,0,0.130570494600935,0,0.062161555489181
